,2021-06,2021-05,2021-04,2021-03,2021-02,2021-01,2020-12,2020-11,2020-10,2020-09,2020-08,2020-07,2020-06,2020-05,2020-04,2020-03,2020-02,2020-01,2019-12,2019-11,2019-10,2019-09,2019-08,2019-07,2019-06,2019-05,2019-04,2019-03,2019-02,2019-01,2018-12,2018-11,2018-10,2018-09,2018-08,2018-07,2018-06,2018-05,2018-04,2018-03,2018-02,2018-01,2017-12,2017-11,2017-10,2017-09,2017-08,2017-07,2017-06,2017-05,2017-04,2017-03,2017-02,2017-01,2016-12,2016-11,2016-10,2016-09,2016-08,2016-07,2016-06,2016-05,2016-04,2016-03,2016-02,2016-01,2015-12,2015-11,2015-10,2015-09,2015-08,2015-07,2015-06,2015-05,2015-04,2015-03,2015-02,2015-01,2014-12,2014-11,2014-10,2014-09,2014-08,2014-07,2014-06,2014-05,2014-04,2014-03,2014-02,2014-01,2013-12,2013-11,2013-10,2013-09,2013-08,2013-07,2013-06,2013-05,2013-04,2013-03,2013-02,2013-01,2012-12,2012-11,2012-10,2012-09,2012-08,2012-07,2012-06,2012-05,2012-04,2012-03,2012-02,2012-01,2011-12,2011-11,2011-10,2011-09,2011-08,2011-07,2011-06,2011-05,2011-04,2011-03,2011-02,2011-01,2010-12,2010-11,2010-10
VR experience,0.0071633237822349575,0.01054481546572935,0.0068359375,0.0026246719160104987,0.005484460694698354,0.007371007371007371,0.0020408163265306124,0.007075471698113208,0.006561679790026247,0.011627906976744186,0.006396588486140725,0.010236724248240563,0.00496031746031746,0.007832898172323759,0.011266336187471835,0.015363128491620111,0.011807447774750226,0.008875739644970414,0.01310344827586207,0.012846517917511832,0.007751937984496124,0.004166666666666667,0.003952569169960474,0.0,0.0,0.0035714285714285713,0.004524886877828055,0.01444043321299639,0.0,0.038338658146964855,0.0033112582781456954,0.0011890606420927466,0.005681818181818182,0.0,0.011363636363636364,0.0,0.0028011204481792717,0.0035842293906810036,0.0,0.002331002331002331,0.005571030640668524,0.0017761989342806395,0.0019342359767891683,0.0015278838808250573,0.0,0.002793296089385475,0.0015290519877675841,0.0032102728731942215,0.0,0.0,0.0,0.0,0.0,0.004640371229698376,0.013953488372093023,0.002618657937806874,0.004016064257028112,0.007905138339920948,0.0,0.0,0.002840909090909091,0.0,0.0,0.0,0.0,0.0021231422505307855,0.0,0.0024813895781637717,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0024875621890547263,0.0024752475247524753,0.0,0.0,0.0,0.0058997050147492625,0.0,0.0026455026455026454,0.0,0.010775862068965518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gameplay,0.05873925501432665,0.05272407732864675,0.0458984375,0.0647419072615923,0.06489945155393052,0.060810810810810814,0.058503401360544216,0.05660377358490566,0.07480314960629922,0.07703488372093023,0.07889125799573561,0.06397952655150352,0.061507936507936505,0.07571801566579635,0.06038756196484903,0.05540037243947858,0.06993642143505904,0.04955621301775148,0.04827586206896552,0.04732927653820149,0.06976744186046512,0.06666666666666667,0.06719367588932806,0.0652395514780836,0.07095046854082998,0.12142857142857143,0.07239819004524888,0.05776173285198556,0.09225092250922509,0.054313099041533544,0.07947019867549669,0.07491082045184304,0.13636363636363635,0.06422018348623854,0.16287878787878787,0.16037735849056603,0.10084033613445378,0.08602150537634409,0.09556313993174062,0.13053613053613053,0.08913649025069638,0.10301953818827708,0.10058027079303675,0.04660045836516425,0.10181818181818182,0.08100558659217877,0.08409785932721713,0.12680577849117175,0.0914396887159533,0.11646586345381527,0.12449799196787148,0.10699588477366255,0.11336032388663968,0.09280742459396751,0.10465116279069768,0.053027823240589196,0.10843373493975904,0.08695652173913043,0.09090909090909091,0.12053571428571429,0.09090909090909091,0.1422924901185771,0.08679245283018867,0.09287925696594428,0.10961968680089486,0.1040339702760085,0.08997955010224949,0.052109181141439205,0.11071428571428571,0.07024793388429752,0.1033434650455927,0.12090680100755667,0.09252669039145907,0.09064327485380116,0.09950248756218906,0.06930693069306931,0.08791208791208792,0.11641221374045801,0.060263653483992465,0.0943952802359882,0.097799511002445,0.06349206349206349,0.10985915492957747,0.1314655172413793,0.08666666666666667,0.08275862068965517,0.09615384615384616,0.11411411411411411,0.09582309582309582,0.10194730813287514,0.10249307479224377,0.14695340501792115,0.07246376811594203,0.08450704225352113,0.11650485436893204,0.08015267175572519,0.04040404040404041,0.060240963855421686,0.13846153846153847,0.11428571428571428,0.1875,0.07317073170731707,0.045454545454545456,0.09523809523809523,0.06896551724137931,0.034482758620689655,0.11904761904761904,0.046610169491525424,0.06521739130434782,0.0,0.14285714285714285,0.13157894736842105,0.1724137931034483,0.10526315789473684,0.06802721088435375,0.10204081632653061,0.09523809523809523,0.10638297872340426,0.06896551724137931,0.05847953216374269,0.07692307692307693,0.10606060606060606,0.0625,0.0,0.1,0.06779661016949153,0.09032258064516129,0.08045977011494253,0.0
graphics,0.07020057306590258,0.07469244288224956,0.0595703125,0.05511811023622047,0.07678244972577697,0.06326781326781326,0.06326530612244897,0.05817610062893082,0.07874015748031496,0.07848837209302326,0.1044776119402985,0.07869481765834933,0.08333333333333333,0.08616187989556136,0.05497972059486255,0.061452513966480445,0.07992733878292461,0.05325443786982249,0.07310344827586207,0.05138607167004733,0.1124031007751938,0.16666666666666666,0.07905138339920949,0.07951070336391437,0.07095046854082998,0.125,0.08144796380090498,0.10469314079422383,0.08487084870848709,0.10223642172523961,0.10264900662251655,0.06064209274673008,0.07954545454545454,0.10091743119266056,0.1553030303030303,0.125,0.12605042016806722,0.13978494623655913,0.09556313993174062,0.10023310023310024,0.07242339832869081,0.11545293072824156,0.09284332688588008,0.06722689075630252,0.10909090909090909,0.08379888268156424,0.09021406727828746,0.1348314606741573,0.06809338521400778,0.1686746987951807,0.1566265060240964,0.16049382716049382,0.12550607287449392,0.10904872389791183,0.1186046511627907,0.06088379705400982,0.13253012048192772,0.07905138339920949,0.11447811447811448,0.08258928571428571,0.18181818181818182,0.13043478260869565,0.17358490566037735,0.10835913312693499,0.11409395973154363,0.14225053078556263,0.1083844580777096,0.1141439205955335,0.15,0.1115702479338843,0.1276595744680851,0.11586901763224182,0.10320284697508897,0.12280701754385964,0.13930348258706468,0.08663366336633663,0.11263736263736264,0.1316793893129771,0.1167608286252354,0.12684365781710916,0.12224938875305623,0.07671957671957672,0.1352112676056338,0.13577586206896552,0.10533333333333333,0.1206896551724138,0.16666666666666666,0.09309309309309309,0.12776412776412777,0.12142038946162657,0.12742382271468145,0.1111111111111111,0.13043478260869565,0.1267605633802817,0.04854368932038835,0.08396946564885496,0.08080808080808081,0.03614457831325301,0.13846153846153847,0.08571428571428572,0.08333333333333333,0.10975609756097561,0.07954545454545454,0.031746031746031744,0.034482758620689655,0.022988505747126436,0.14285714285714285,0.059322033898305086,0.13043478260869565,0.0,0.17142857142857143,0.02631578947368421,0.10344827586206896,0.19736842105263158,0.06462585034013606,0.10204081632653061,0.023809523809523808,0.2127659574468085,0.05172413793103448,0.10526315789473684,0.05128205128205128,0.13636363636363635,0.03125,0.057692307692307696,0.08333333333333333,0.06779661016949153,0.14193548387096774,0.11494252873563218,0.1111111111111111
optimization,0.012893982808022923,0.014938488576449912,0.0126953125,0.02099737532808399,0.02102376599634369,0.005528255528255528,0.008843537414965987,0.006289308176100629,0.010498687664041995,0.024709302325581394,0.010660980810234541,0.018554062699936022,0.015873015873015872,0.014795474325500435,0.010815682739972961,0.01675977653631285,0.01634877384196185,0.023668639053254437,0.009655172413793104,0.0074374577417173765,0.04263565891472868,0.004166666666666667,0.023715415019762844,0.0163098878695209,0.01606425702811245,0.03214285714285714,0.03619909502262444,0.021660649819494584,0.01845018450184502,0.01597444089456869,0.016556291390728478,0.007134363852556481,0.028409090909090908,0.03211009174311927,0.05303030303030303,0.08018867924528301,0.0196078431372549,0.021505376344086023,0.010238907849829351,0.030303030303030304,0.016713091922005572,0.023090586145648313,0.027079303675048357,0.012987012987012988,0.03272727272727273,0.01675977653631285,0.01529051987767584,0.019261637239165328,0.007782101167315175,0.028112449799196786,0.0321285140562249,0.037037037037037035,0.012145748987854251,0.030162412993039442,0.027906976744186046,0.00425531914893617,0.0321285140562249,0.011857707509881422,0.04040404040404041,0.044642857142857144,0.011363636363636364,0.011857707509881422,0.01509433962264151,0.02786377708978328,0.029082774049217,0.02335456475583864,0.014314928425357873,0.01240694789081886,0.025,0.04132231404958678,0.0121580547112462,0.020151133501259445,0.019572953736654804,0.029239766081871343,0.01990049751243781,0.009900990099009901,0.016483516483516484,0.030534351145038167,0.013182674199623353,0.014749262536873156,0.02444987775061125,0.047619047619047616,0.02535211267605634,0.02586206896551724,0.017333333333333333,0.017241379310344827,0.019230769230769232,0.006006006006006006,0.019656019656019656,0.021764032073310423,0.0221606648199446,0.010752688172043012,0.014492753623188406,0.014084507042253521,0.0,0.003816793893129771,0.0,0.03614457831325301,0.03076923076923077,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.011494252873563218,0.011904761904761904,0.00423728813559322,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01935483870967742,0.0,0.0
control,0.01002865329512894,0.014938488576449912,0.0068359375,0.005249343832020997,0.010054844606946984,0.016584766584766583,0.007482993197278911,0.0031446540880503146,0.009186351706036745,0.007267441860465116,0.017057569296375266,0.008317338451695458,0.007936507936507936,0.016536118363794605,0.009013068949977467,0.011638733705772812,0.009990917347865577,0.008136094674556213,0.016551724137931035,0.006085192697768763,0.015503875968992248,0.008333333333333333,0.0,0.007135575942915392,0.012048192771084338,0.02142857142857143,0.02262443438914027,0.0,0.01845018450184502,0.012779552715654952,0.019867549668874173,0.01070154577883472,0.017045454545454544,0.01834862385321101,0.030303030303030304,0.01179245283018868,0.014005602240896359,0.021505376344086023,0.020477815699658702,0.006993006993006993,0.016713091922005572,0.015985790408525755,0.015473887814313346,0.01145912910618793,0.01090909090909091,0.01675977653631285,0.01834862385321101,0.019261637239165328,0.017509727626459144,0.008032128514056224,0.01606425702811245,0.012345679012345678,0.020242914979757085,0.01160092807424594,0.01627906976744186,0.006873977086743044,0.028112449799196786,0.02766798418972332,0.02356902356902357,0.011160714285714286,0.008522727272727272,0.003952569169960474,0.018867924528301886,0.015479876160990712,0.013422818791946308,0.02335456475583864,0.024539877300613498,0.019851116625310174,0.02142857142857143,0.004132231404958678,0.0182370820668693,0.007556675062972292,0.021352313167259787,0.023391812865497075,0.009950248756218905,0.009900990099009901,0.03571428571428571,0.011450381679389313,0.026365348399246705,0.017699115044247787,0.02444987775061125,0.026455026455026454,0.016901408450704224,0.023706896551724137,0.008,0.013793103448275862,0.04487179487179487,0.024024024024024024,0.03194103194103194,0.018327605956471937,0.024930747922437674,0.025089605734767026,0.014492753623188406,0.0,0.019417475728155338,0.026717557251908396,0.0,0.024096385542168676,0.015384615384615385,0.02857142857142857,0.0,0.0,0.011363636363636364,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.013605442176870748,0.02040816326530612,0.0,0.0,0.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0064516129032258064,0.0,0.0
plot,0.12607449856733524,0.13005272407732865,0.1103515625,0.12598425196850394,0.13711151736745886,0.11732186732186732,0.11224489795918367,0.11713836477987422,0.14041994750656167,0.13953488372093023,0.1162046908315565,0.14075495841330773,0.11904761904761904,0.13751087902523934,0.12933753943217666,0.1336126629422719,0.14168937329700274,0.12721893491124261,0.13517241379310344,0.11156186612576065,0.17829457364341086,0.17916666666666667,0.13438735177865613,0.14169215086646278,0.14056224899598393,0.2,0.18552036199095023,0.1263537906137184,0.14391143911439114,0.15654952076677317,0.18211920529801323,0.12960760998810938,0.2727272727272727,0.1834862385321101,0.24621212121212122,0.27122641509433965,0.20728291316526612,0.2078853046594982,0.18088737201365188,0.1794871794871795,0.22284122562674094,0.25754884547069273,0.1895551257253385,0.12987012987012986,0.21818181818181817,0.2709497206703911,0.19724770642201836,0.2504012841091493,0.17315175097276264,0.22088353413654618,0.2289156626506024,0.3004115226337449,0.23076923076923078,0.2668213457076566,0.20465116279069767,0.12635024549918167,0.17670682730923695,0.22134387351778656,0.23232323232323232,0.22991071428571427,0.23011363636363635,0.23715415019762845,0.2528301886792453,0.23219814241486067,0.21029082774049218,0.23354564755838642,0.20449897750511248,0.1662531017369727,0.17142857142857143,0.2396694214876033,0.19756838905775076,0.17380352644836272,0.1797153024911032,0.18421052631578946,0.2562189054726368,0.1707920792079208,0.17307692307692307,0.25,0.19962335216572505,0.1976401179941003,0.2371638141809291,0.19576719576719576,0.22253521126760564,0.2672413793103448,0.17466666666666666,0.20689655172413793,0.22435897435897437,0.2552552552552553,0.28501228501228504,0.2542955326460481,0.23684210526315788,0.27598566308243727,0.2608695652173913,0.19718309859154928,0.1941747572815534,0.14122137404580154,0.1111111111111111,0.24096385542168675,0.2,0.18571428571428572,0.14583333333333334,0.1951219512195122,0.25,0.30158730158730157,0.13793103448275862,0.1839080459770115,0.2261904761904762,0.15254237288135594,0.13043478260869565,0.15625,0.37142857142857144,0.18421052631578946,0.13793103448275862,0.19736842105263158,0.1598639455782313,0.20408163265306123,0.21428571428571427,0.2978723404255319,0.1724137931034483,0.1286549707602339,0.2564102564102564,0.25757575757575757,0.109375,0.09615384615384616,0.26666666666666666,0.15254237288135594,0.2064516129032258,0.1724137931034483,0.0
character design,0.07593123209169055,0.0492091388400703,0.056640625,0.06561679790026247,0.0712979890310786,0.05466830466830467,0.04353741496598639,0.04481132075471698,0.03937007874015748,0.06540697674418605,0.06929637526652452,0.062060140754958415,0.044642857142857144,0.06440382941688425,0.05317710680486706,0.03677839851024209,0.055404178019981834,0.045118343195266274,0.057931034482758624,0.029749830966869506,0.07751937984496124,0.0875,0.05138339920948617,0.047910295616717634,0.05220883534136546,0.06428571428571428,0.12217194570135746,0.036101083032490974,0.0959409594095941,0.05750798722044728,0.06291390728476821,0.059453032104637336,0.06818181818181818,0.09174311926605505,0.06818181818181818,0.14858490566037735,0.10364145658263306,0.15412186379928317,0.10580204778156997,0.08391608391608392,0.10027855153203342,0.0905861456483126,0.09090909090909091,0.04583651642475172,0.06545454545454546,0.10893854748603352,0.09327217125382263,0.08828250401284109,0.06809338521400778,0.08433734939759036,0.14056224899598393,0.102880658436214,0.12550607287449392,0.1345707656612529,0.07209302325581396,0.04746317512274959,0.0963855421686747,0.04743083003952569,0.12794612794612795,0.09821428571428571,0.15056818181818182,0.10276679841897234,0.08679245283018867,0.10835913312693499,0.12751677852348994,0.12101910828025478,0.09815950920245399,0.09429280397022333,0.08214285714285714,0.07851239669421488,0.06990881458966565,0.08060453400503778,0.08362989323843416,0.05847953216374269,0.1517412935323383,0.06435643564356436,0.06868131868131869,0.1297709923664122,0.08662900188323917,0.09144542772861357,0.11735941320293398,0.07407407407407407,0.07887323943661972,0.10775862068965517,0.08266666666666667,0.1,0.10256410256410256,0.14114114114114115,0.13267813267813267,0.1111111111111111,0.10941828254847645,0.13620071684587814,0.07246376811594203,0.07042253521126761,0.0970873786407767,0.07251908396946564,0.020202020202020204,0.03614457831325301,0.16923076923076924,0.12857142857142856,0.041666666666666664,0.07317073170731707,0.022727272727272728,0.047619047619047616,0.08620689655172414,0.022988505747126436,0.09523809523809523,0.038135593220338986,0.06521739130434782,0.03125,0.05714285714285714,0.07894736842105263,0.017241379310344827,0.02631578947368421,0.023809523809523808,0.10204081632653061,0.0,0.06382978723404255,0.1206896551724138,0.023391812865497075,0.07692307692307693,0.10606060606060606,0.0625,0.038461538461538464,0.13333333333333333,0.03389830508474576,0.08387096774193549,0.06896551724137931,0.0
game atmosphere,0.008595988538681949,0.016695957820738138,0.017578125,0.016622922134733157,0.024680073126142597,0.017813267813267815,0.02040816326530612,0.01650943396226415,0.011811023622047244,0.01744186046511628,0.01279317697228145,0.012795905310300703,0.007936507936507936,0.014795474325500435,0.013970256872465074,0.013500931098696461,0.006357856494096276,0.008875739644970414,0.014482758620689656,0.005409060175794456,0.011627906976744186,0.025,0.019762845849802372,0.012232415902140673,0.008032128514056224,0.007142857142857143,0.04072398190045249,0.0036101083032490976,0.0036900369003690036,0.019169329073482427,0.013245033112582781,0.020214030915576695,0.028409090909090908,0.0045871559633027525,0.015151515151515152,0.02122641509433962,0.03081232492997199,0.010752688172043012,0.023890784982935155,0.02097902097902098,0.016713091922005572,0.02486678507992895,0.015473887814313346,0.008403361344537815,0.0036363636363636364,0.0335195530726257,0.024464831804281346,0.02247191011235955,0.02529182879377432,0.0321285140562249,0.05220883534136546,0.0205761316872428,0.032388663967611336,0.01160092807424594,0.03488372093023256,0.010474631751227497,0.024096385542168676,0.02766798418972332,0.037037037037037035,0.029017857142857144,0.02556818181818182,0.019762845849802372,0.018867924528301886,0.018575851393188854,0.026845637583892617,0.03397027600849257,0.026584867075664622,0.01240694789081886,0.010714285714285714,0.024793388429752067,0.00911854103343465,0.012594458438287154,0.012455516014234875,0.02631578947368421,0.04228855721393035,0.027227722772277228,0.016483516483516484,0.02862595419847328,0.026365348399246705,0.011799410029498525,0.017114914425427872,0.013227513227513227,0.028169014084507043,0.023706896551724137,0.018666666666666668,0.02413793103448276,0.04487179487179487,0.024024024024024024,0.056511056511056514,0.026345933562428408,0.01662049861495845,0.026881720430107527,0.014492753623188406,0.014084507042253521,0.07766990291262135,0.007633587786259542,0.030303030303030304,0.012048192771084338,0.03076923076923077,0.0,0.041666666666666664,0.024390243902439025,0.022727272727272728,0.015873015873015872,0.0,0.022988505747126436,0.0,0.01694915254237288,0.0,0.0,0.05714285714285714,0.0,0.0,0.06578947368421052,0.0,0.04081632653061224,0.0,0.0425531914893617,0.017241379310344827,0.017543859649122806,0.0,0.030303030303030304,0.015625,0.0,0.016666666666666666,0.01694915254237288,0.012903225806451613,0.0,0.0
combat,0.07163323782234957,0.054481546572934976,0.041015625,0.04374453193350831,0.07678244972577697,0.045454545454545456,0.03333333333333333,0.04009433962264151,0.04199475065616798,0.05232558139534884,0.07036247334754797,0.06781829814459372,0.05853174603174603,0.06875543951261967,0.043262730959891846,0.03584729981378026,0.051771117166212535,0.07100591715976332,0.060689655172413794,0.04597701149425287,0.10852713178294573,0.05416666666666667,0.023715415019762844,0.046890927624872576,0.06559571619812583,0.09285714285714286,0.09049773755656108,0.036101083032490974,0.07749077490774908,0.051118210862619806,0.06291390728476821,0.03210463733650416,0.06818181818181818,0.05045871559633028,0.10227272727272728,0.1509433962264151,0.11204481792717087,0.1003584229390681,0.07508532423208192,0.06993006993006994,0.0807799442896936,0.0994671403197158,0.059961315280464215,0.03896103896103896,0.06181818181818182,0.06983240223463687,0.0871559633027523,0.0738362760834671,0.042801556420233464,0.08433734939759036,0.20883534136546184,0.12345679012345678,0.13765182186234817,0.09280742459396751,0.07674418604651163,0.029459901800327332,0.08032128514056225,0.023715415019762844,0.13468013468013468,0.109375,0.13352272727272727,0.14624505928853754,0.07924528301886792,0.07430340557275542,0.1476510067114094,0.0870488322717622,0.0736196319018405,0.07692307692307693,0.09285714285714286,0.06198347107438017,0.057750759878419454,0.06297229219143577,0.06761565836298933,0.05847953216374269,0.08706467661691543,0.06683168316831684,0.06593406593406594,0.13931297709923665,0.0696798493408663,0.06784660766961652,0.10024449877750612,0.08465608465608465,0.05352112676056338,0.11853448275862069,0.07866666666666666,0.05172413793103448,0.07692307692307693,0.11711711711711711,0.11793611793611794,0.10423825887743414,0.07340720221606649,0.11469534050179211,0.07246376811594203,0.09859154929577464,0.05825242718446602,0.07251908396946564,0.030303030303030304,0.03614457831325301,0.09230769230769231,0.1,0.0,0.06097560975609756,0.011363636363636364,0.07936507936507936,0.08620689655172414,0.04597701149425287,0.13095238095238096,0.07203389830508475,0.06521739130434782,0.0,0.05714285714285714,0.0,0.05172413793103448,0.039473684210526314,0.02040816326530612,0.061224489795918366,0.0,0.06382978723404255,0.1206896551724138,0.023391812865497075,0.0,0.06060606060606061,0.03125,0.07692307692307693,0.03333333333333333,0.03389830508474576,0.025806451612903226,0.06896551724137931,0.0
game content,0.025787965616045846,0.023725834797891036,0.0205078125,0.017497812773403325,0.025594149908592323,0.018427518427518427,0.015646258503401362,0.020440251572327043,0.02230971128608924,0.030523255813953487,0.04371002132196162,0.036468330134357005,0.027777777777777776,0.030461270670147953,0.02658855340243353,0.031191806331471134,0.019981834695731154,0.03328402366863906,0.02413793103448276,0.018931710615280595,0.046511627906976744,0.03333333333333333,0.02766798418972332,0.029561671763506627,0.022757697456492636,0.03571428571428571,0.04072398190045249,0.04332129963898917,0.033210332103321034,0.038338658146964855,0.03642384105960265,0.016646848989298454,0.022727272727272728,0.045871559633027525,0.03787878787878788,0.054245283018867926,0.022408963585434174,0.02867383512544803,0.07508532423208192,0.027972027972027972,0.033426183844011144,0.04262877442273535,0.025145067698259187,0.019098548510313215,0.025454545454545455,0.05307262569832402,0.03363914373088685,0.04333868378812199,0.03501945525291829,0.04417670682730924,0.0642570281124498,0.053497942386831275,0.05263157894736842,0.03480278422273782,0.03953488372093023,0.0176759410801964,0.03614457831325301,0.011857707509881422,0.05723905723905724,0.03571428571428571,0.04261363636363636,0.03162055335968379,0.04150943396226415,0.04643962848297214,0.03355704697986577,0.04883227176220807,0.044989775051124746,0.04218362282878412,0.05,0.04132231404958678,0.0364741641337386,0.030226700251889168,0.037366548042704624,0.043859649122807015,0.04228855721393035,0.03712871287128713,0.03296703296703297,0.04198473282442748,0.032015065913371,0.04129793510324484,0.05134474327628362,0.03968253968253968,0.03380281690140845,0.05603448275862069,0.034666666666666665,0.041379310344827586,0.041666666666666664,0.07507507507507508,0.05896805896805897,0.0572737686139748,0.04293628808864266,0.043010752688172046,0.050724637681159424,0.07042253521126761,0.038834951456310676,0.05343511450381679,0.0,0.0,0.03076923076923077,0.04285714285714286,0.020833333333333332,0.024390243902439025,0.03409090909090909,0.015873015873015872,0.034482758620689655,0.034482758620689655,0.011904761904761904,0.012711864406779662,0.0,0.0,0.02857142857142857,0.0,0.034482758620689655,0.05263157894736842,0.027210884353741496,0.061224489795918366,0.16666666666666666,0.06382978723404255,0.034482758620689655,0.023391812865497075,0.0,0.030303030303030304,0.015625,0.038461538461538464,0.0,0.05084745762711865,0.025806451612903226,0.04597701149425287,0.0
