,VR experience,gameplay,graphics,optimization,control,plot,character design,game atmosphere,combat,game content,price
2021-06,0,1,1,0,0,2,2,0,1,1,0
2021-05,0,2,3,1,1,7,8,0,2,1,0
2021-04,1,5,3,1,0,4,5,0,3,1,1
2021-03,0,4,3,0,0,5,1,0,0,1,0
2021-02,0,11,4,1,2,11,7,1,9,1,2
2021-01,0,7,3,5,5,8,16,2,14,0,2
2020-12,0,4,8,0,0,4,6,2,4,2,1
2020-11,0,10,5,2,1,10,7,0,10,2,0
2020-10,0,8,0,0,0,9,1,0,6,0,0
2020-09,0,4,7,3,0,7,9,0,11,3,0
2020-08,0,6,6,0,0,4,13,1,9,1,1
2020-07,0,3,2,3,0,18,6,1,6,2,0
2020-06,0,2,2,2,0,5,3,0,2,1,0
2020-05,0,7,2,1,1,5,6,0,5,4,1
2020-04,2,4,3,2,6,10,6,0,9,5,3
2020-03,2,5,5,2,0,13,13,2,4,2,3
2020-02,0,4,3,4,2,13,3,1,10,2,2
2020-01,4,8,2,16,4,15,8,1,25,10,2
2019-12,0,4,4,0,3,7,7,3,20,5,2
2019-11,0,1,3,2,0,5,0,0,6,2,0
2019-10,0,0,1,3,0,1,0,0,0,1,0
2019-09,0,0,0,0,1,1,2,0,0,0,0
2019-08,0,0,0,1,0,2,0,0,0,0,0
2019-07,0,13,4,1,1,13,11,6,4,5,2
2019-06,0,4,5,4,2,5,10,0,31,6,0
2019-05,0,3,0,1,1,1,2,0,3,0,0
2019-04,0,1,1,5,1,3,5,0,1,0,0
2019-03,0,0,0,0,0,2,0,0,0,1,0
2019-02,0,0,1,0,1,3,4,0,2,0,0
2019-01,12,0,1,2,2,2,1,1,0,0,1
2018-12,0,0,1,2,0,1,0,0,2,0,0
2018-11,0,3,0,1,0,2,2,0,2,1,1
2018-10,0,0,0,5,0,1,1,0,0,0,1
2018-09,0,1,3,0,0,5,8,0,4,0,0
2018-08,0,2,5,3,0,3,1,0,3,1,0
2018-07,0,3,3,4,0,5,2,0,15,5,1
2018-06,0,2,6,2,0,5,4,0,12,3,1
2018-05,0,3,4,0,1,10,10,0,5,1,1
2018-04,0,1,1,0,1,3,1,0,0,0,0
2018-03,0,12,4,3,1,12,2,2,2,0,0
2018-02,1,3,6,3,1,3,2,0,0,0,2
2018-01,0,1,3,0,0,4,1,0,1,2,2
2017-12,0,3,3,5,4,7,7,0,5,1,1
2017-11,0,1,3,2,0,1,0,0,0,2,0
2017-10,0,6,4,7,0,6,2,0,5,0,1
2017-09,0,2,2,0,0,16,0,3,3,2,8
2017-08,0,6,13,4,1,34,10,0,10,3,28
2017-07,0,2,1,1,4,13,3,0,8,5,2
2017-06,0,6,2,0,0,3,5,2,4,0,0
2017-05,0,0,0,2,0,11,5,0,4,0,0
2017-04,0,2,0,3,0,5,0,0,0,0,2
2017-03,0,0,2,1,0,3,2,0,1,0,1
2017-02,0,2,1,0,0,0,1,0,1,4,0
2017-01,0,1,3,1,0,5,2,0,4,0,1
2016-12,0,2,2,0,0,3,0,1,0,0,2
2016-11,0,4,1,0,0,3,1,0,1,2,0
2016-10,0,2,5,4,1,2,2,2,0,2,2
2016-09,0,5,3,0,0,4,3,0,0,1,1
2016-08,0,1,1,4,0,1,3,0,8,1,0
2016-07,0,7,2,4,1,14,4,2,2,4,0
2016-06,0,3,8,1,0,4,4,0,7,1,0
2016-05,0,2,2,0,0,5,0,0,0,0,0
2016-04,0,0,2,0,2,2,1,0,1,2,1
2016-03,0,2,6,1,1,9,4,1,7,1,2
2016-02,0,5,8,6,1,8,6,2,17,1,0
2016-01,0,6,2,0,2,10,3,1,3,2,1
2015-12,0,6,2,2,0,6,5,0,4,1,0
2015-11,0,0,1,1,0,4,2,0,3,2,2
2015-10,0,3,1,0,0,8,0,0,1,0,0
2015-09,0,1,5,4,0,3,1,1,1,1,1
2015-08,0,3,3,1,1,2,5,0,4,4,2
2015-07,0,3,2,0,0,2,0,0,1,1,2
2015-06,0,6,7,4,1,9,4,1,5,2,0
2015-05,0,1,2,0,0,1,0,0,0,0,1
2015-04,0,1,1,0,1,9,5,0,1,3,0
2015-03,0,0,1,1,0,0,3,0,1,0,0
2015-02,0,0,1,1,1,0,3,0,3,0,0
2015-01,0,0,6,0,1,11,7,0,5,1,1
2014-12,0,0,0,1,0,0,0,0,0,0,0
2014-11,0,1,1,0,0,0,1,0,0,1,0
2014-10,0,4,8,1,1,4,9,0,3,0,1
2014-09,0,5,3,3,0,10,9,1,5,6,1
2014-08,0,2,1,0,0,4,3,0,0,0,1
2014-07,0,0,0,1,0,0,2,0,1,1,0
2014-06,0,3,4,1,1,6,3,0,4,3,1
2014-05,0,1,3,0,0,0,0,1,0,2,0
2014-04,0,0,1,0,1,1,4,0,3,0,2
2014-03,0,3,1,0,0,5,0,0,0,2,0
2014-02,0,0,4,4,1,1,3,0,4,0,1
2014-01,0,5,10,2,4,16,5,2,4,5,1
2013-12,0,0,5,0,2,4,6,0,1,3,0
2013-11,0,3,4,1,3,3,6,0,19,1,0
2013-10,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0
2013-05,0,0,0,0,0,0,0,0,0,0,0
2013-04,0,0,0,0,0,0,0,0,0,0,0
2013-03,0,0,0,0,0,0,0,0,0,0,0
2013-02,0,0,0,0,0,0,0,0,0,0,0
2013-01,0,0,0,0,0,0,0,0,0,0,0
2012-12,0,0,0,0,0,0,0,0,0,0,0
2012-11,0,0,0,0,0,0,0,0,0,0,0
2012-10,0,0,0,0,0,0,0,0,0,0,0
