,VR experience,gameplay,graphics,optimization,control,plot,character design,game atmosphere,combat,game content,price
2021-06,5,40,48,9,7,86,51,6,49,17,11
2021-05,12,58,82,16,16,141,48,19,60,26,15
2021-04,6,42,58,12,7,109,53,18,39,20,13
2021-03,3,70,60,24,6,139,74,19,50,19,25
2021-02,6,60,80,22,9,139,71,26,75,27,14
2021-01,12,92,100,4,22,183,73,27,60,30,32
2020-12,3,82,85,13,11,161,58,28,45,21,17
2020-11,9,62,69,6,3,139,50,21,41,24,18
2020-10,5,49,60,8,7,98,29,9,26,17,5
2020-09,8,49,47,14,5,89,36,12,25,18,11
2020-08,6,68,92,10,16,105,52,11,57,40,22
2020-07,16,97,121,26,13,202,91,19,100,55,20
2020-06,5,60,82,14,8,115,42,8,57,27,15
2020-05,9,80,97,16,18,153,68,17,74,31,18
2020-04,23,130,119,22,14,277,112,31,87,54,16
2020-03,31,114,127,34,25,274,66,27,73,65,18
2020-02,13,73,85,14,9,143,58,6,47,20,8
2020-01,8,59,70,16,7,157,53,11,71,35,16
2019-12,19,66,102,14,21,189,77,18,68,30,20
2019-11,19,69,73,9,9,160,44,8,62,26,12
2019-10,2,18,28,8,4,45,20,3,28,11,7
2019-09,1,16,40,1,1,42,19,6,13,8,3
2019-08,1,17,20,5,0,32,13,5,6,7,5
2019-07,0,51,74,15,6,126,36,6,42,24,22
2019-06,0,49,48,8,7,100,29,6,18,11,9
2019-05,1,31,35,8,5,55,16,2,23,10,8
2019-04,1,15,17,3,4,38,22,9,19,9,6
2019-03,4,16,29,6,0,33,10,1,10,11,8
2019-02,0,25,22,5,4,36,22,1,19,9,10
2019-01,0,17,31,3,2,47,17,5,16,12,6
2018-12,1,24,30,3,6,54,19,4,17,11,11
2018-11,1,60,51,5,9,107,48,17,25,13,9
2018-10,1,24,14,0,3,47,11,5,12,4,6
2018-09,0,13,19,7,4,35,12,1,7,10,1
2018-08,3,41,36,11,8,62,17,4,24,9,8
2018-07,0,65,50,30,5,110,61,9,49,18,20
2018-06,1,34,39,5,5,69,33,11,28,5,14
2018-05,1,21,35,6,5,48,33,3,23,7,6
2018-04,0,27,27,3,5,50,30,7,22,22,10
2018-03,1,44,39,10,2,65,34,7,28,12,13
2018-02,1,29,20,3,5,77,34,6,29,12,7
2018-01,1,57,62,13,9,141,50,14,55,22,18
2017-12,1,49,45,9,4,91,40,8,26,12,12
2017-11,2,60,85,15,15,169,60,11,51,23,13
2017-10,0,22,26,2,3,54,16,1,12,7,9
2017-09,1,27,28,6,6,81,39,9,22,17,12
2017-08,1,49,46,6,11,95,51,16,47,19,12
2017-07,2,77,83,11,8,143,52,14,38,22,15
2017-06,0,41,33,4,9,86,30,11,18,18,13
2017-05,0,29,42,5,2,44,16,8,17,11,6
2017-04,0,29,39,5,4,52,35,13,52,16,6
2017-03,0,26,37,8,3,70,23,5,29,13,7
2017-02,0,26,30,3,5,57,30,8,33,9,10
2017-01,2,39,44,12,5,110,56,5,36,15,7
2016-12,6,43,49,12,7,85,31,14,33,17,8
2016-11,8,158,185,13,21,383,144,32,89,52,22
2016-10,1,25,28,4,6,42,22,4,20,7,7
2016-09,2,17,17,3,7,52,9,7,6,2,3
2016-08,0,26,33,8,7,68,35,11,32,16,8
2016-07,0,47,35,16,4,89,40,11,47,12,8
2016-06,1,29,56,3,3,77,49,9,40,14,7
2016-05,0,34,31,3,1,55,26,5,37,8,3
2016-04,0,23,44,4,3,65,22,5,20,9,6
2016-03,0,28,29,8,4,66,31,5,17,14,10
2016-02,0,44,43,7,5,86,51,10,49,14,6
2016-01,1,43,65,11,9,100,54,15,38,21,6
2015-12,0,38,51,5,12,94,43,13,32,21,10
2015-11,1,21,45,4,8,63,36,5,28,15,8
2015-10,0,28,41,7,6,40,23,3,25,14,2
2015-09,0,16,22,6,1,55,18,5,14,9,5
2015-08,0,31,39,3,5,63,18,3,15,8,4
2015-07,0,45,44,8,3,67,32,5,24,11,13
2015-06,0,46,51,7,11,92,43,6,33,19,16
2015-05,3,30,40,10,8,62,20,9,20,15,5
2015-04,1,39,55,8,3,94,56,17,34,14,6
2015-03,1,28,34,3,4,69,23,11,26,15,7
2015-02,0,32,40,5,12,63,22,6,21,12,2
2015-01,0,61,63,16,5,120,61,15,68,21,7
2014-12,0,32,62,6,14,106,46,14,37,17,13
2014-11,2,31,42,5,6,67,30,4,23,13,8
2014-10,0,36,42,9,9,93,39,7,38,21,14
2014-09,1,19,26,15,10,64,19,4,27,9,12
2014-08,0,37,47,9,6,75,25,10,19,12,8
2014-07,5,61,63,11,11,124,48,11,54,25,10
2014-06,0,62,75,12,5,125,59,14,55,23,10
2014-05,0,23,32,5,4,60,29,6,15,10,5
2014-04,0,30,51,6,13,69,28,14,21,13,9
2014-03,0,35,30,2,8,80,47,8,39,23,5
2014-02,0,39,48,4,12,115,51,23,44,24,8
2014-01,0,84,96,17,12,206,92,21,87,45,17
2013-12,0,74,87,16,16,167,73,12,52,28,12
2013-11,0,79,58,5,11,151,70,15,45,23,13
2013-10,0,10,18,2,2,36,10,2,10,7,4
2013-09,0,6,9,1,0,14,5,1,7,5,1
2013-08,0,12,5,0,2,20,10,8,6,4,0
2013-07,0,21,22,1,7,37,19,2,19,14,6
2013-06,0,4,8,0,0,11,2,3,3,0,1
2013-05,0,5,3,3,2,20,3,1,3,0,2
2013-04,0,9,9,2,1,13,11,2,6,2,1
2013-03,0,8,6,0,2,13,9,0,7,3,2
2013-02,0,9,4,0,0,7,2,2,0,1,0
2013-01,0,6,9,0,0,16,6,2,5,2,0
2012-12,0,4,7,1,1,22,2,2,1,3,0
2012-11,0,6,2,0,1,19,3,1,5,1,4
2012-10,0,4,2,0,0,8,5,0,5,2,1
2012-09,0,3,2,1,0,16,2,2,4,3,3
2012-08,0,10,12,1,0,19,8,0,11,1,1
2012-07,0,11,14,1,0,36,9,4,17,3,1
2012-06,0,3,6,0,0,6,3,0,3,0,0
2012-05,0,0,0,0,0,5,1,0,0,0,0
2012-04,0,5,6,0,0,13,2,2,2,1,1
2012-03,0,5,1,0,0,7,3,0,0,0,0
2012-02,0,10,6,0,0,8,1,0,3,2,1
2012-01,0,8,15,2,1,15,2,5,3,4,1
2011-12,0,20,19,0,4,47,7,0,6,8,4
2011-11,0,5,5,0,1,10,5,2,3,3,0
2011-10,0,4,1,0,0,9,0,0,0,7,0
2011-09,0,5,10,0,0,14,3,2,3,3,2
2011-08,0,4,3,1,0,10,7,1,7,2,0
2011-07,0,10,18,0,1,22,4,3,4,4,0
2011-06,0,3,2,0,0,10,3,0,0,0,0
2011-05,0,7,9,0,0,17,7,2,4,2,2
2011-04,0,4,2,0,0,7,4,1,2,1,1
2011-03,0,0,3,0,0,5,2,0,4,2,0
2011-02,0,6,5,0,0,16,8,1,2,0,1
2011-01,0,4,4,0,1,9,2,1,2,3,0
2010-12,0,14,22,3,1,32,13,2,4,4,3
2010-11,0,7,10,0,0,15,6,0,6,4,3
2010-10,0,0,1,0,0,0,0,0,0,0,0
