,2021-06,2021-05,2021-04,2021-03,2021-02,2021-01,2020-12,2020-11,2020-10,2020-09,2020-08,2020-07,2020-06,2020-05,2020-04,2020-03,2020-02,2020-01,2019-12,2019-11,2019-10,2019-09,2019-08,2019-07,2019-06,2019-05,2019-04,2019-03,2019-02,2019-01,2018-12,2018-11,2018-10,2018-09,2018-08,2018-07,2018-06,2018-05,2018-04,2018-03,2018-02,2018-01,2017-12,2017-11,2017-10,2017-09,2017-08,2017-07,2017-06,2017-05,2017-04,2017-03,2017-02,2017-01,2016-12,2016-11,2016-10,2016-09,2016-08,2016-07,2016-06,2016-05,2016-04,2016-03,2016-02,2016-01,2015-12,2015-11,2015-10,2015-09,2015-08,2015-07,2015-06,2015-05,2015-04,2015-03,2015-02,2015-01,2014-12,2014-11,2014-10,2014-09,2014-08,2014-07,2014-06,2014-05,2014-04,2014-03,2014-02,2014-01,2013-12,2013-11,2013-10,2013-09,2013-08,2013-07,2013-06,2013-05,2013-04,2013-03,2013-02,2013-01,2012-12,2012-11,2012-10,2012-09,2012-08,2012-07,2012-06,2012-05,2012-04,2012-03,2012-02,2012-01,2011-12,2011-11,2011-10,2011-09,2011-08,2011-07,2011-06,2011-05,2011-04,2011-03,2011-02,2011-01,2010-12,2010-11,2010-10
VR experience,5,12,7,3,6,12,3,9,5,8,6,16,5,9,25,33,13,12,19,19,2,1,1,0,0,1,1,4,0,12,1,1,1,0,3,0,1,1,0,1,2,1,1,2,0,1,1,2,0,0,0,0,0,2,6,8,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,1,1,0,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gameplay,41,60,47,74,71,99,86,72,57,53,74,100,62,87,134,119,77,67,70,70,18,16,17,64,53,34,16,16,25,17,24,63,24,14,43,68,36,24,28,56,32,58,52,61,28,29,55,79,47,29,31,26,28,40,45,162,27,22,27,54,32,36,23,30,49,49,44,21,31,17,34,48,52,31,40,28,32,61,32,32,40,24,39,61,65,24,30,38,39,89,74,82,10,6,12,21,4,5,9,8,9,6,4,6,4,3,10,11,3,0,5,5,10,8,20,5,4,5,4,10,3,7,4,0,6,4,14,7,0
graphics,49,85,61,63,84,103,93,74,60,54,98,123,84,99,122,132,88,72,106,76,29,40,20,78,53,35,18,29,23,32,31,51,14,22,41,53,45,39,28,43,26,65,48,88,30,30,59,84,35,42,39,39,31,47,51,186,33,20,34,37,64,33,46,35,51,67,53,46,42,27,42,46,58,42,56,35,41,69,62,43,50,29,48,63,79,35,52,31,52,106,92,62,18,9,5,22,8,3,9,6,4,9,7,2,2,2,12,14,6,0,6,1,6,15,19,5,1,10,3,18,2,9,2,3,5,4,22,10,1
optimization,9,17,13,24,23,9,13,8,8,17,10,29,16,17,24,36,18,32,14,11,11,1,6,16,12,9,8,6,5,5,5,6,5,7,14,34,7,6,3,13,6,13,14,17,9,6,10,12,4,7,8,9,3,13,12,13,8,3,12,20,4,3,4,9,13,11,7,5,7,10,4,8,11,10,8,4,6,16,7,5,10,18,9,12,13,5,6,2,8,19,16,6,2,1,0,1,0,3,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
control,7,17,7,6,11,27,11,4,7,5,16,13,8,19,20,25,11,11,24,9,4,2,0,7,9,6,5,0,5,4,6,9,3,4,8,5,5,6,6,3,6,9,8,15,3,6,12,12,9,2,4,3,5,5,7,21,7,7,7,5,3,1,5,5,6,11,12,8,6,1,6,3,12,8,4,4,13,6,14,6,10,10,6,11,6,4,14,8,13,16,18,14,2,0,2,7,0,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,1,1,0,0
plot,88,148,113,144,150,191,165,149,107,96,109,220,120,158,287,287,156,172,196,165,46,43,34,139,105,56,41,35,39,49,55,109,48,40,65,115,74,58,53,77,80,145,98,170,60,97,129,156,89,55,57,73,57,115,88,386,44,56,69,103,81,60,67,75,94,110,100,67,48,58,65,69,101,63,103,69,63,131,106,67,97,74,79,124,131,60,70,85,116,222,171,154,36,14,20,37,11,20,13,13,7,16,22,19,8,16,19,36,6,5,13,7,8,15,47,10,9,14,10,22,10,17,7,5,16,9,32,15,0
character design,53,56,58,75,78,89,64,57,30,45,65,97,45,74,118,79,61,61,84,44,20,21,13,47,39,18,27,10,26,18,19,50,12,20,18,63,37,43,31,36,36,51,47,60,18,39,61,55,35,21,35,25,31,58,31,145,24,12,38,44,53,26,23,35,57,57,48,38,23,19,23,32,47,20,61,26,25,68,46,31,48,28,28,50,62,29,32,47,54,97,79,76,10,5,10,19,2,3,11,9,2,6,2,3,5,2,8,9,3,1,2,3,1,2,7,5,0,3,7,4,3,7,4,2,8,2,13,6,0
game atmosphere,6,19,18,19,27,29,30,21,9,12,12,20,8,17,31,29,7,12,21,8,3,6,5,12,6,2,9,1,1,6,4,17,5,1,4,9,11,3,7,9,6,14,8,11,1,12,16,14,13,8,13,5,8,5,15,32,6,7,11,13,9,5,5,6,12,16,13,5,3,6,3,5,7,9,17,11,6,15,14,4,7,5,10,11,14,7,14,8,23,23,12,15,2,1,8,2,3,1,2,0,2,2,2,1,0,2,0,4,0,0,2,0,0,5,0,2,0,2,1,3,0,2,1,0,1,1,2,0,0
combat,50,62,42,50,84,74,49,51,32,36,66,106,59,79,96,77,57,96,88,68,28,13,6,46,49,26,20,10,21,16,19,27,12,11,27,64,40,28,22,30,29,56,31,51,17,25,57,46,22,21,52,30,34,40,33,90,20,6,40,49,47,37,21,24,66,41,36,31,26,15,19,25,38,20,35,27,24,73,37,23,41,32,19,55,59,15,24,39,48,91,53,64,10,7,6,19,3,3,6,7,0,5,1,5,5,4,11,17,3,0,2,0,3,3,6,3,0,3,7,4,0,4,2,4,2,2,4,6,0
game content,18,27,21,20,28,30,23,26,17,21,41,57,28,35,59,67,22,45,35,28,12,8,7,29,17,10,9,12,9,12,11,14,4,10,10,23,8,8,22,12,12,24,13,25,7,19,22,27,18,11,16,13,13,15,17,54,9,3,17,16,15,8,11,15,15,23,22,17,14,10,12,12,21,15,17,15,12,22,17,14,21,15,12,26,26,12,13,25,24,50,31,24,7,5,4,14,0,0,2,3,1,2,3,1,2,3,1,3,0,0,1,0,2,4,8,3,7,3,2,4,0,2,1,2,0,3,4,4,0
